                                                                     
                                                                     
                                                                     
                                             
Angles in degrees, polarised cross sections in microbarns/sterad
Coefficients A_F, B_F, C_F, D_F for sigmaF = rho*sintheta*[A_F + B_F*x + C_F*(3x^2-1)/2 + D_F*(5x^3-3x)/2] with x = costheta and rho = q/k

------------------------------------------------------------------------------

Channel 256: 144.184 +- 0.722 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF

Channel 110: 319.923 +- 0.568 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           7.149308         4.084675
 15.0   5.0          -2.924352         2.064627
 25.0   5.0          -7.798582         1.768767
 35.0   5.0         -17.037285         1.502420
 45.0   5.0         -19.238802         1.211215
 55.0   5.0         -18.920591         1.035317
 65.0   5.0         -19.428015         0.970119
 75.0   5.0         -10.733583         0.926027
 85.0   5.0          -7.004566         0.897184
 95.0   5.0          -2.380771         0.890471
105.0   5.0           4.871253         0.896390
115.0   5.0           9.958139         0.924017
125.0   5.0          15.691519         0.997384
135.0   5.0          16.094219         1.034234
145.0   5.0          16.916292         1.156738
155.0   5.0          11.818707         1.315619
165.0   5.0           8.493270         1.816157
175.0   5.0           3.455757         4.058855

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -2.756398     0.462245   -40.069529     0.872345     5.302008     1.223925     0.000000     0.000000

chi^2/ndf =  42.210/15 =   2.814

------------------------------------------------------------------------------

Channel 109: 320.981 +- 0.564 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -3.479041         3.319845
 15.0   5.0          -6.338698         1.680921
 25.0   5.0         -11.414147         1.423700
 35.0   5.0         -18.689936         1.223814
 45.0   5.0         -18.701521         0.965506
 55.0   5.0         -19.467558         0.837313
 65.0   5.0         -18.848797         0.769629
 75.0   5.0         -14.475005         0.740232
 85.0   5.0          -7.707191         0.724100
 95.0   5.0          -1.261489         0.721303
105.0   5.0           5.082735         0.718517
115.0   5.0           9.048703         0.736401
125.0   5.0          11.935438         0.793311
135.0   5.0          15.328052         0.837006
145.0   5.0          14.147805         0.893251
155.0   5.0          14.293772         1.093393
165.0   5.0           6.818744         1.404639
175.0   5.0           2.545634         3.444407

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.430984     0.370026   -39.821303     0.698034     2.998255     0.982311     0.000000     0.000000

chi^2/ndf =  24.765/15 =   1.651

------------------------------------------------------------------------------

Channel 108: 322.035 +- 0.559 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -4.080881         4.242827
 15.0   5.0          -6.193820         1.930601
 25.0   5.0         -11.625533         1.655133
 35.0   5.0         -19.240425         1.376194
 45.0   5.0         -20.070787         1.102501
 55.0   5.0         -21.062342         0.940001
 65.0   5.0         -18.513493         0.875421
 75.0   5.0         -12.850475         0.837526
 85.0   5.0          -7.509173         0.812566
 95.0   5.0          -1.266800         0.808079
105.0   5.0           5.754044         0.819546
115.0   5.0          10.119207         0.834421
125.0   5.0          14.197544         0.890970
135.0   5.0          15.651578         0.938791
145.0   5.0          14.213984         1.018917
155.0   5.0          14.196814         1.214959
165.0   5.0           7.943192         1.598350
175.0   5.0           1.412943         3.921893

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.186769     0.418360   -41.563286     0.789352     1.802704     1.110024     0.000000     0.000000

chi^2/ndf =  14.126/15 =   0.942

------------------------------------------------------------------------------

Channel 107: 323.086 +- 0.555 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.803872         4.158519
 15.0   5.0          -7.287014         1.928669
 25.0   5.0         -13.800191         1.692885
 35.0   5.0         -15.940537         1.375258
 45.0   5.0         -21.217554         1.113830
 55.0   5.0         -18.648306         0.940242
 65.0   5.0         -17.560179         0.884160
 75.0   5.0         -13.162405         0.846671
 85.0   5.0          -8.329401         0.836519
 95.0   5.0          -2.055516         0.822378
105.0   5.0           4.964014         0.832249
115.0   5.0           9.272677         0.859647
125.0   5.0          15.385847         0.917089
135.0   5.0          16.192766         0.945427
145.0   5.0          15.168762         1.048046
155.0   5.0          12.646501         1.235466
165.0   5.0           8.060993         1.607534
175.0   5.0          -1.439649         3.766632

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -3.691391     0.423412   -40.587419     0.799018     3.950488     1.125613     0.000000     0.000000

chi^2/ndf =  11.545/15 =   0.770

------------------------------------------------------------------------------

Channel 106: 324.135 +- 0.551 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.134322         3.547694
 15.0   5.0          -8.132707         1.711324
 25.0   5.0         -13.045682         1.570717
 35.0   5.0         -16.445210         1.330884
 45.0   5.0         -21.490385         1.074476
 55.0   5.0         -18.899950         0.914849
 65.0   5.0         -17.424042         0.855328
 75.0   5.0         -16.144625         0.821734
 85.0   5.0          -9.189336         0.801641
 95.0   5.0          -0.438213         0.791526
105.0   5.0           3.988602         0.794682
115.0   5.0          10.057999         0.823374
125.0   5.0          15.270809         0.872639
135.0   5.0          15.819903         0.905090
145.0   5.0          16.187962         1.011161
155.0   5.0          13.147269         1.180546
165.0   5.0           8.705997         1.592320
175.0   5.0           2.479779         3.876470

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -3.873185     0.406352   -41.644824     0.767156     4.796667     1.077886     0.000000     0.000000

chi^2/ndf =  21.555/15 =   1.437

------------------------------------------------------------------------------

Channel 105: 325.180 +- 0.546 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           2.976117         4.110478
 15.0   5.0          -7.530750         2.126440
 25.0   5.0         -12.542353         1.831723
 35.0   5.0         -19.766054         1.574381
 45.0   5.0         -19.754330         1.232902
 55.0   5.0         -19.443283         1.069458
 65.0   5.0         -17.611689         0.996618
 75.0   5.0         -12.843830         0.960088
 85.0   5.0          -7.676506         0.935407
 95.0   5.0          -2.374911         0.927886
105.0   5.0           3.894326         0.930464
115.0   5.0          10.363267         0.965048
125.0   5.0          11.793313         1.007300
135.0   5.0          15.505458         1.071404
145.0   5.0          16.955601         1.181364
155.0   5.0          13.128824         1.354841
165.0   5.0           8.849383         1.862302
175.0   5.0           1.424355         4.336437

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.078948     0.473980   -40.099442     0.894654     3.564680     1.259048     0.000000     0.000000

chi^2/ndf =  11.781/15 =   0.785

------------------------------------------------------------------------------

Channel 104: 326.223 +- 0.542 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           1.111889         4.223776
 15.0   5.0          -4.259816         2.100170
 25.0   5.0          -9.853464         1.743243
 35.0   5.0         -16.715580         1.434444
 45.0   5.0         -23.132895         1.194644
 55.0   5.0         -20.534014         1.025920
 65.0   5.0         -17.731812         0.943858
 75.0   5.0         -13.682067         0.904279
 85.0   5.0          -7.964262         0.885196
 95.0   5.0          -2.025885         0.881130
105.0   5.0           5.329412         0.885886
115.0   5.0           9.607901         0.905662
125.0   5.0          11.168636         0.957783
135.0   5.0          15.500599         1.015318
145.0   5.0          14.099520         1.103017
155.0   5.0          11.575392         1.273056
165.0   5.0           7.736591         1.749836
175.0   5.0          -3.220653         3.908226

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.888498     0.448511   -39.763312     0.847491     1.706182     1.189277     0.000000     0.000000

chi^2/ndf =  31.758/15 =   2.117

------------------------------------------------------------------------------

Channel 103: 327.250 +- 0.550 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -1.608505         4.269480
 15.0   5.0          -7.459876         2.164948
 25.0   5.0         -10.050615         1.765248
 35.0   5.0         -15.506421         1.459774
 45.0   5.0         -20.480473         1.181244
 55.0   5.0         -20.389889         1.019755
 65.0   5.0         -17.713089         0.964227
 75.0   5.0         -13.320953         0.916325
 85.0   5.0          -8.108558         0.889050
 95.0   5.0          -0.749465         0.882776
105.0   5.0           5.274663         0.889730
115.0   5.0           8.525950         0.918734
125.0   5.0          12.836321         0.964214
135.0   5.0          16.400846         1.018542
145.0   5.0          14.564837         1.108511
155.0   5.0          11.637118         1.274534
165.0   5.0           7.594033         1.773196
175.0   5.0           4.611403         4.246969

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.091291     0.450483   -39.544482     0.851518     2.885957     1.194036     0.000000     0.000000

chi^2/ndf =  16.863/15 =   1.124

------------------------------------------------------------------------------

Channel 102: 328.298 +- 0.557 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.561303         3.560756
 15.0   5.0          -3.770344         1.986682
 25.0   5.0         -11.768717         1.749747
 35.0   5.0         -17.611740         1.429965
 45.0   5.0         -17.830276         1.134028
 55.0   5.0         -20.528805         0.981356
 65.0   5.0         -18.766331         0.933829
 75.0   5.0         -13.413851         0.883267
 85.0   5.0          -6.959843         0.872615
 95.0   5.0          -0.876239         0.855821
105.0   5.0           4.554184         0.877516
115.0   5.0           8.404231         0.881985
125.0   5.0          13.365373         0.943910
135.0   5.0          15.052238         0.984231
145.0   5.0          15.705009         1.075500
155.0   5.0          10.686311         1.281144
165.0   5.0           8.284562         1.678671
175.0   5.0           4.163400         4.427923

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.110359     0.436728   -39.209661     0.824667     2.931944     1.161512     0.000000     0.000000

chi^2/ndf =  22.145/15 =   1.476

------------------------------------------------------------------------------

Channel 101: 329.331 +- 0.553 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -5.835941         3.477823
 15.0   5.0          -5.765849         1.820570
 25.0   5.0         -10.124002         1.639855
 35.0   5.0         -20.822771         1.379510
 45.0   5.0         -21.500292         1.111725
 55.0   5.0         -18.632332         0.954028
 65.0   5.0         -17.626175         0.893476
 75.0   5.0         -15.201786         0.859506
 85.0   5.0          -8.265858         0.839672
 95.0   5.0          -1.764069         0.831431
105.0   5.0           3.132735         0.836509
115.0   5.0           9.209036         0.847719
125.0   5.0          12.587655         0.901925
135.0   5.0          14.349569         0.952241
145.0   5.0          14.563448         1.037668
155.0   5.0          12.203626         1.236152
165.0   5.0           8.391452         1.640651
175.0   5.0          -1.175609         4.042903

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.972782     0.420956   -39.482909     0.794668     2.812229     1.118975     0.000000     0.000000

chi^2/ndf =  23.498/15 =   1.567

------------------------------------------------------------------------------

Channel 100: 330.361 +- 0.549 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.487417         3.614577
 15.0   5.0          -4.110497         2.488529
 25.0   5.0         -14.170227         2.153045
 35.0   5.0         -14.738363         1.783097
 45.0   5.0         -18.915407         1.418795
 55.0   5.0         -19.489172         1.213505
 65.0   5.0         -19.026535         1.149577
 75.0   5.0         -12.200233         1.108006
 85.0   5.0          -7.476950         1.074897
 95.0   5.0          -0.708128         1.070607
105.0   5.0           4.932407         1.070981
115.0   5.0           6.333661         1.092192
125.0   5.0          12.658060         1.145699
135.0   5.0          15.765705         1.205439
145.0   5.0          15.110734         1.337575
155.0   5.0          11.607305         1.555745
165.0   5.0          11.167232         2.149214
175.0   5.0          -2.997213         5.757878

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.024457     0.539065   -38.346578     1.017290     3.419278     1.436055     0.000000     0.000000

chi^2/ndf =  22.779/15 =   1.519

------------------------------------------------------------------------------

Channel  99: 331.388 +- 0.545 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -3.572146         3.585567
 15.0   5.0          -2.090594         2.187101
 25.0   5.0         -11.776563         1.986583
 35.0   5.0         -16.410109         1.638600
 45.0   5.0         -21.453758         1.332527
 55.0   5.0         -21.178505         1.134803
 65.0   5.0         -16.066711         1.063190
 75.0   5.0         -14.025199         1.025536
 85.0   5.0          -7.874304         1.009305
 95.0   5.0          -2.870622         1.005907
105.0   5.0           3.074732         1.010725
115.0   5.0           8.923345         1.026126
125.0   5.0          13.951417         1.062364
135.0   5.0          15.199833         1.140722
145.0   5.0          14.510950         1.272198
155.0   5.0          11.499161         1.480169
165.0   5.0           7.159597         1.980779
175.0   5.0           4.913453         5.146246

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.460387     0.503493   -39.096655     0.949483     3.800558     1.343699     0.000000     0.000000

chi^2/ndf =  20.389/15 =   1.359

------------------------------------------------------------------------------

Channel  98: 332.411 +- 0.541 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -4.103743         3.232745
 15.0   5.0          -4.582999         1.708581
 25.0   5.0          -9.148705         1.574888
 35.0   5.0         -16.808296         1.281735
 45.0   5.0         -19.303366         1.035131
 55.0   5.0         -18.719433         0.879791
 65.0   5.0         -18.470333         0.840349
 75.0   5.0         -15.528162         0.806094
 85.0   5.0          -7.717210         0.787302
 95.0   5.0          -1.647851         0.778171
105.0   5.0           3.724393         0.779815
115.0   5.0           8.463689         0.797630
125.0   5.0          12.548348         0.826735
135.0   5.0          15.096398         0.888565
145.0   5.0          13.285302         0.977317
155.0   5.0          11.068168         1.136161
165.0   5.0           9.540720         1.577792
175.0   5.0           4.774342         3.725348

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.459487     0.391725   -38.098382     0.739048     4.095976     1.043758     0.000000     0.000000

chi^2/ndf =  29.170/15 =   1.945

------------------------------------------------------------------------------

Channel  97: 333.433 +- 0.536 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.397644         3.659035
 15.0   5.0          -4.476555         1.836598
 25.0   5.0         -11.204077         1.616941
 35.0   5.0         -19.071512         1.377166
 45.0   5.0         -20.587259         1.087808
 55.0   5.0         -20.932360         0.955902
 65.0   5.0         -19.132082         0.891267
 75.0   5.0         -13.035777         0.855608
 85.0   5.0          -9.045311         0.840388
 95.0   5.0          -1.171243         0.822937
105.0   5.0           5.012457         0.828603
115.0   5.0           8.166662         0.843492
125.0   5.0          11.610712         0.878787
135.0   5.0          14.894655         0.933208
145.0   5.0          13.762650         1.036344
155.0   5.0          10.955274         1.183697
165.0   5.0           7.223479         1.694934
175.0   5.0          -2.253661         3.864179

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -5.331174     0.415170   -39.305028     0.784091     1.183708     1.104024     0.000000     0.000000

chi^2/ndf =  25.885/15 =   1.726

------------------------------------------------------------------------------

Channel  95: 335.464 +- 0.528 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.684090         3.458473
 15.0   5.0          -4.567593         1.873906
 25.0   5.0         -10.965702         1.587882
 35.0   5.0         -14.170328         1.301543
 45.0   5.0         -19.542076         1.074847
 55.0   5.0         -19.642246         0.925102
 65.0   5.0         -17.147110         0.869425
 75.0   5.0         -14.342352         0.837701
 85.0   5.0          -5.641891         0.810179
 95.0   5.0          -2.163157         0.812321
105.0   5.0           4.692081         0.811070
115.0   5.0           7.964853         0.829206
125.0   5.0          11.419935         0.861101
135.0   5.0          13.712170         0.922640
145.0   5.0          13.930522         1.022311
155.0   5.0          10.817672         1.183559
165.0   5.0           8.613775         1.637785
175.0   5.0          -2.364351         3.703066

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.400170     0.405838   -36.743306     0.765955     2.382126     1.080025     0.000000     0.000000

chi^2/ndf =  30.577/15 =   2.038

------------------------------------------------------------------------------

Channel  94: 336.465 +- 0.534 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.292685         3.514795
 15.0   5.0          -4.139448         1.787849
 25.0   5.0         -12.659523         1.637554
 35.0   5.0         -16.529379         1.292577
 45.0   5.0         -19.819559         1.067829
 55.0   5.0         -20.761473         0.925153
 65.0   5.0         -19.512857         0.864838
 75.0   5.0         -13.562304         0.835544
 85.0   5.0          -7.034525         0.805792
 95.0   5.0          -1.821957         0.808333
105.0   5.0           5.889009         0.808082
115.0   5.0           9.121542         0.815228
125.0   5.0          11.335054         0.844779
135.0   5.0          15.259964         0.928846
145.0   5.0          13.202502         0.999069
155.0   5.0          10.575074         1.175331
165.0   5.0           9.261894         1.621692
175.0   5.0           9.643930         3.749874

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.879585     0.403076   -39.077468     0.760574     1.202020     1.073226     0.000000     0.000000

chi^2/ndf =  36.456/15 =   2.430

------------------------------------------------------------------------------

Channel  93: 337.482 +- 0.539 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -4.243027         3.123087
 15.0   5.0          -3.249084         1.769404
 25.0   5.0          -9.293942         1.590468
 35.0   5.0         -17.548323         1.333403
 45.0   5.0         -20.581770         1.075023
 55.0   5.0         -20.466005         0.927234
 65.0   5.0         -17.985258         0.874529
 75.0   5.0         -13.354049         0.836614
 85.0   5.0          -7.952203         0.812235
 95.0   5.0          -1.595599         0.806239
105.0   5.0           3.827711         0.814719
115.0   5.0           9.467222         0.822310
125.0   5.0          12.239629         0.847186
135.0   5.0          14.602708         0.915622
145.0   5.0          13.194230         1.005839
155.0   5.0          11.108748         1.187223
165.0   5.0           6.173339         1.638245
175.0   5.0           2.387727         4.352840

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.778008     0.404501   -38.298460     0.763518     2.028992     1.076520     0.000000     0.000000

chi^2/ndf =  27.179/15 =   1.812

------------------------------------------------------------------------------

Channel  92: 338.487 +- 0.535 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           5.200716         3.342997
 15.0   5.0          -6.249920         1.685845
 25.0   5.0         -10.366742         1.559263
 35.0   5.0         -17.458817         1.252601
 45.0   5.0         -19.518358         1.016750
 55.0   5.0         -20.300209         0.878392
 65.0   5.0         -16.890638         0.817079
 75.0   5.0         -13.307756         0.789004
 85.0   5.0          -7.607656         0.772522
 95.0   5.0          -1.839588         0.771751
105.0   5.0           2.716096         0.772521
115.0   5.0           6.783924         0.786453
125.0   5.0          11.532564         0.810280
135.0   5.0          14.240390         0.882091
145.0   5.0          13.706301         0.934777
155.0   5.0          11.924966         1.133369
165.0   5.0           6.975646         1.505991
175.0   5.0          -1.201810         3.438415

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.938409     0.383203   -36.783464     0.723641     2.746358     1.021099     0.000000     0.000000

chi^2/ndf =  22.305/15 =   1.487

------------------------------------------------------------------------------

Channel  91: 339.489 +- 0.531 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.277052         3.148022
 15.0   5.0          -3.415839         1.981137
 25.0   5.0         -11.562940         1.764189
 35.0   5.0         -15.986734         1.424564
 45.0   5.0         -18.380745         1.127102
 55.0   5.0         -18.152208         0.980351
 65.0   5.0         -16.807657         0.932742
 75.0   5.0         -13.719296         0.888922
 85.0   5.0          -7.677336         0.878798
 95.0   5.0          -2.379353         0.870698
105.0   5.0           3.283243         0.876633
115.0   5.0           7.199075         0.878614
125.0   5.0          12.321918         0.917264
135.0   5.0          14.028855         0.981984
145.0   5.0          13.441190         1.071663
155.0   5.0          10.183905         1.280313
165.0   5.0           7.250823         1.818484
175.0   5.0          -0.339415         3.729599

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.362566     0.431959   -35.717341     0.814531     3.784162     1.154872     0.000000     0.000000

chi^2/ndf =  12.121/15 =   0.808

------------------------------------------------------------------------------

Channel  90: 340.487 +- 0.526 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.211642         3.732326
 15.0   5.0          -4.006614         1.694233
 25.0   5.0         -10.536315         1.514592
 35.0   5.0         -14.562394         1.285070
 45.0   5.0         -19.997093         1.024921
 55.0   5.0         -19.108803         0.886834
 65.0   5.0         -16.807707         0.838889
 75.0   5.0         -13.857157         0.804798
 85.0   5.0          -7.891319         0.783345
 95.0   5.0          -1.504436         0.781579
105.0   5.0           2.503997         0.773631
115.0   5.0           7.840073         0.787895
125.0   5.0          13.047470         0.818886
135.0   5.0          15.267911         0.882575
145.0   5.0          13.301301         0.973399
155.0   5.0          10.193935         1.124771
165.0   5.0           6.428612         1.520039
175.0   5.0          10.434944         3.949922

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.268912     0.387133   -36.707617     0.730734     3.933428     1.030769     0.000000     0.000000

chi^2/ndf =  29.692/15 =   1.979

------------------------------------------------------------------------------

Channel  89: 341.482 +- 0.522 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.543299         3.410606
 15.0   5.0          -2.601647         1.754316
 25.0   5.0          -7.471566         1.563277
 35.0   5.0         -16.943516         1.300173
 45.0   5.0         -18.535887         1.041998
 55.0   5.0         -18.894787         0.908840
 65.0   5.0         -18.504427         0.857568
 75.0   5.0         -12.945064         0.826316
 85.0   5.0          -6.152106         0.798878
 95.0   5.0          -1.893016         0.795567
105.0   5.0           3.413538         0.794967
115.0   5.0           8.763405         0.810292
125.0   5.0          12.382954         0.857932
135.0   5.0          12.879751         0.894951
145.0   5.0          11.341531         0.974156
155.0   5.0           9.446119         1.178432
165.0   5.0           5.061142         1.589118
175.0   5.0           9.224639         3.992582

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.711692     0.395652   -35.533421     0.747547     1.325165     1.051854     0.000000     0.000000

chi^2/ndf =  48.704/15 =   3.247

------------------------------------------------------------------------------

Channel  88: 342.473 +- 0.518 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.321829         3.932110
 15.0   5.0          -5.326501         2.092507
 25.0   5.0          -6.816822         1.931317
 35.0   5.0         -14.751592         1.611089
 45.0   5.0         -21.358559         1.294346
 55.0   5.0         -16.417614         1.128000
 65.0   5.0         -17.583055         1.055235
 75.0   5.0         -15.169394         1.035245
 85.0   5.0          -8.043371         0.997204
 95.0   5.0          -2.134773         0.993195
105.0   5.0           2.005537         0.999104
115.0   5.0           7.932282         1.002101
125.0   5.0          10.010751         1.045038
135.0   5.0          12.192540         1.115095
145.0   5.0          13.408523         1.234879
155.0   5.0           9.105281         1.416613
165.0   5.0           4.315239         1.893162
175.0   5.0          -3.565104         4.923846

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -5.192028     0.489482   -34.379002     0.924958     3.203289     1.303867     0.000000     0.000000

chi^2/ndf =  34.360/15 =   2.291

------------------------------------------------------------------------------

Channel  87: 343.461 +- 0.514 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.903921         4.229385
 15.0   5.0          -0.650908         1.979949
 25.0   5.0         -10.569652         1.871656
 35.0   5.0         -16.168768         1.500537
 45.0   5.0         -18.223352         1.193225
 55.0   5.0         -19.417206         1.042633
 65.0   5.0         -16.375523         0.977722
 75.0   5.0         -13.759462         0.945079
 85.0   5.0          -8.448066         0.935445
 95.0   5.0          -0.785825         0.913796
105.0   5.0           4.532299         0.916641
115.0   5.0           8.446598         0.924968
125.0   5.0           9.201879         0.969628
135.0   5.0          13.187871         1.021375
145.0   5.0          11.754126         1.139181
155.0   5.0          10.005752         1.330465
165.0   5.0           6.432593         1.832944
175.0   5.0          -2.290501         4.400041

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.878597     0.453732   -34.908485     0.856069     1.445826     1.211695     0.000000     0.000000

chi^2/ndf =  34.731/15 =   2.315

------------------------------------------------------------------------------

Channel  86: 344.447 +- 0.510 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.529503         2.982770
 15.0   5.0          -4.994303         1.733758
 25.0   5.0          -9.509317         1.562581
 35.0   5.0         -16.664469         1.251577
 45.0   5.0         -17.953754         1.019630
 55.0   5.0         -19.868254         0.896614
 65.0   5.0         -17.335560         0.832391
 75.0   5.0         -13.396766         0.803933
 85.0   5.0          -7.625005         0.782096
 95.0   5.0          -2.122513         0.775238
105.0   5.0           2.258169         0.767514
115.0   5.0           6.831036         0.784174
125.0   5.0          10.047600         0.819559
135.0   5.0          12.169035         0.865916
145.0   5.0          12.744844         0.987399
155.0   5.0          10.774142         1.124893
165.0   5.0           6.317172         1.578856
175.0   5.0           0.272091         4.079710

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -5.330599     0.385631   -34.601121     0.727271     2.367603     1.027028     0.000000     0.000000

chi^2/ndf =  17.250/15 =   1.150

------------------------------------------------------------------------------

Channel  85: 345.418 +- 0.516 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           4.152514         3.299840
 15.0   5.0          -6.621526         1.802380
 25.0   5.0          -9.855840         1.566161
 35.0   5.0         -16.679773         1.266189
 45.0   5.0         -18.717585         1.022609
 55.0   5.0         -19.232803         0.886254
 65.0   5.0         -16.634855         0.836967
 75.0   5.0         -12.850068         0.806747
 85.0   5.0          -7.658149         0.784624
 95.0   5.0          -0.683664         0.778058
105.0   5.0           3.167369         0.773166
115.0   5.0           6.793664         0.793085
125.0   5.0          11.913624         0.828087
135.0   5.0          13.528039         0.881405
145.0   5.0          13.269114         0.991990
155.0   5.0           7.372850         1.114686
165.0   5.0           1.584963         1.573844
175.0   5.0          -3.519484         4.062425

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -5.035771     0.387255   -35.068582     0.730497     0.614554     1.031545     0.000000     0.000000

chi^2/ndf =  41.787/15 =   2.786

------------------------------------------------------------------------------

Channel  84: 346.407 +- 0.523 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.091798         3.386898
 15.0   5.0          -2.680127         1.751789
 25.0   5.0          -7.264927         1.601913
 35.0   5.0         -14.808144         1.315855
 45.0   5.0         -18.251289         1.053123
 55.0   5.0         -19.582514         0.928979
 65.0   5.0         -18.504166         0.866866
 75.0   5.0         -13.226496         0.827721
 85.0   5.0          -8.712175         0.809064
 95.0   5.0          -2.083150         0.797025
105.0   5.0           3.603075         0.799318
115.0   5.0           6.716158         0.810942
125.0   5.0          11.262940         0.838871
135.0   5.0          13.076818         0.907781
145.0   5.0          14.318789         0.998846
155.0   5.0           9.797077         1.213917
165.0   5.0           6.599085         1.627303
175.0   5.0           1.405413         3.790058

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -4.627276     0.399131   -35.285978     0.752402     4.332703     1.062932     0.000000     0.000000

chi^2/ndf =  37.300/15 =   2.487

------------------------------------------------------------------------------

Channel  83: 347.382 +- 0.519 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.310920         2.617852
 15.0   5.0          -5.127882         1.647115
 25.0   5.0         -11.814830         1.580671
 35.0   5.0         -15.307155         1.278424
 45.0   5.0         -17.965563         1.023639
 55.0   5.0         -18.862825         0.899408
 65.0   5.0         -18.842316         0.848413
 75.0   5.0         -12.806581         0.816620
 85.0   5.0          -6.356072         0.794340
 95.0   5.0          -2.176631         0.792564
105.0   5.0           2.480808         0.790349
115.0   5.0           6.363925         0.795677
125.0   5.0          12.176987         0.845724
135.0   5.0          12.625749         0.884373
145.0   5.0          12.044621         0.981966
155.0   5.0          10.400591         1.182870
165.0   5.0           7.532039         1.646647
175.0   5.0           3.712103         3.885997

