                                                                     
                                                                     
                                                                     
                                             
Angles in degrees, polarised cross sections in microbarns/sterad
Coefficients A_F, B_F, C_F, D_F for sigmaF = rho*sintheta*[A_F + B_F*x + C_F*(3x^2-1)/2 + D_F*(5x^3-3x)/2] with x = costheta and rho = q/k

------------------------------------------------------------------------------

Channel 256: 144.184 +- 0.722 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
155.0   5.0           0.206736         0.143664
165.0   5.0           0.256157         0.188984
175.0   5.0           0.056840         0.380196

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.227662     0.137959    -0.589437     0.262639     0.260575     0.337966     0.000000     0.000000

chi^2/ndf =  27.604/15 =   1.840

------------------------------------------------------------------------------

Channel 245: 158.194 +- 0.721 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.026220         0.405457
 15.0   5.0          -0.132460         0.209406
 25.0   5.0           0.144736         0.198508
 35.0   5.0          -0.577761         0.210824
 45.0   5.0          -0.358070         0.209145
 55.0   5.0           0.157601         0.197972
 65.0   5.0          -0.114109         0.177884
 75.0   5.0          -0.133577         0.150329
 85.0   5.0           0.200043         0.127825
 95.0   5.0           0.130443         0.108985
105.0   5.0           0.253759         0.107532
115.0   5.0           0.036010         0.104776
125.0   5.0           0.124314         0.110215
135.0   5.0           0.081915         0.112851
145.0   5.0           0.162969         0.123542
155.0   5.0           0.234676         0.150249
165.0   5.0          -0.208615         0.174242
175.0   5.0           0.075449         0.410157

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.008089     0.142832    -0.768987     0.273615    -0.549971     0.344078     0.000000     0.000000

chi^2/ndf =  16.771/15 =   1.118

------------------------------------------------------------------------------

Channel 244: 159.466 +- 0.718 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.018143         0.377225
 15.0   5.0           0.089096         0.206464
 25.0   5.0          -0.161300         0.200188
 35.0   5.0          -0.137519         0.204825
 45.0   5.0          -0.199690         0.206563
 55.0   5.0           0.086228         0.196686
 65.0   5.0           0.092327         0.178661
 75.0   5.0          -0.345476         0.150049
 85.0   5.0           0.021018         0.124053
 95.0   5.0           0.086904         0.107451
105.0   5.0          -0.001962         0.101029
115.0   5.0           0.123502         0.099773
125.0   5.0           0.322911         0.111516
135.0   5.0           0.030244         0.110784
145.0   5.0           0.420880         0.132352
155.0   5.0           0.141277         0.132232
165.0   5.0          -0.219216         0.173318
175.0   5.0           0.291801         0.425713

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.106180     0.135808    -0.733551     0.260187     0.241437     0.324593     0.000000     0.000000

chi^2/ndf =  18.455/15 =   1.230

------------------------------------------------------------------------------

Channel 243: 160.739 +- 0.714 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.240948         0.457596
 15.0   5.0          -0.496650         0.242794
 25.0   5.0          -0.094599         0.222638
 35.0   5.0           0.269087         0.235232
 45.0   5.0          -0.389837         0.233462
 55.0   5.0           0.088931         0.225266
 65.0   5.0           0.244842         0.204440
 75.0   5.0          -0.130090         0.172409
 85.0   5.0           0.201662         0.140583
