# RunInfo:	RunNumber	FileName	RunType	BeamTimeBlock	RunDateTime	TargetNMRSignal	TargetOrient	HelBitPresent	AcquCrash	LaddP2Ratio	TargetPolDegree	ErrorTargetPolDegree	BeamPolDegree	AbsTaggEff	BufferDataPath
RunInfo:	26741	CB_26741.dat	0	0	40440.011719	-1	1	0	0	125.500000	-0.722100	0.038200	0.000000	0.093800	2010_09_B
RunInfo:	26742	CB_26742.dat	0	0	40440.031250	-1	1	0	0	125.500000	-0.721700	0.038200	0.000000	0.093800	2010_09_B
RunInfo:	26743	CB_26743.dat	0	0	40440.050781	-1	1	0	0	125.800003	-0.721300	0.038200	0.000000	0.093576	2010_09_B
RunInfo:	26744	CB_26744.dat	0	0	40440.074219	-1	1	0	0	125.400002	-0.720800	0.038100	0.000000	0.093870	2010_09_B
RunInfo:	26745	CB_26745.dat	0	0	40440.093750	-1	1	0	0	125.099998	-0.720500	0.038100	0.000000	0.094106	2010_09_B
RunInfo:	26746	CB_26746.dat	0	0	40440.113281	-1	1	0	0	126.699997	-0.720100	0.038100	0.000000	0.092917	2010_09_B
RunInfo:	26747	CB_26747.dat	0	0	40440.128906	-1	1	0	0	126.099998	-0.719700	0.038100	0.000000	0.093352	2010_09_B
RunInfo:	26748	CB_26748.dat	0	0	40440.144531	-1	1	0	0	126.400002	-0.719200	0.038000	0.000000	0.093129	2010_09_B
RunInfo:	26749	CB_26749.dat	0	0	40440.167969	-1	1	0	0	126.699997	-0.718800	0.038000	0.000000	0.092917	2010_09_B
RunInfo:	26750	CB_26750.dat	0	0	40440.183594	-1	1	0	0	126.199997	-0.718400	0.038000	0.000000	0.093282	2010_09_B
RunInfo:	26751	CB_26751.dat	0	0	40440.210938	-1	1	0	0	126.699997	-0.717800	0.038000	0.000000	0.092917	2010_09_B
RunInfo:	26752	CB_26752.dat	0	0	40440.246094	-1	1	0	0	126.400002	-0.717200	0.037900	0.000000	0.093129	2010_09_B
RunInfo:	26753	CB_26753.dat	0	0	40440.265625	-1	1	0	0	126.300003	-0.716800	0.037900	0.000000	0.093211	2010_09_B
RunInfo:	26754	CB_26754.dat	0	0	40440.285156	-1	1	0	0	127.199997	-0.716300	0.037900	0.000000	0.092552	2010_09_B
RunInfo:	26755	CB_26755.dat	0	0	40440.308594	-1	1	0	0	127.199997	-0.715900	0.037900	0.000000	0.092552	2010_09_B
RunInfo:	26756	CB_26756.dat	0	0	40440.328125	-1	1	0	0	127.000000	-0.715500	0.037800	0.000000	0.092693	2010_09_B
RunInfo:	26757	CB_26757.dat	2	0	40440.343750	-1	1	0	0	-1.000000	-0.715100	0.037800	0.000000	-11.771765	2010_09_B
RunInfo:	26758	CB_26758.dat	0	0	40440.355469	-1	1	0	0	126.000000	-0.714700	0.037800	0.000000	0.093435	2010_09_B
RunInfo:	26759	CB_26759.dat	0	0	40440.382812	-1	1	0	0	126.900002	-0.714200	0.037800	0.000000	0.092764	2010_09_B
RunInfo:	26760	CB_26760.dat	0	0	40440.402344	-1	1	0	0	126.000000	-0.713800	0.037800	0.000000	0.093435	2010_09_B
RunInfo:	26761	CB_26761.dat	0	0	40440.421875	-1	1	0	0	127.300003	-0.713400	0.037700	0.000000	0.092469	2010_09_B
RunInfo:	26762	CB_26762.dat	0	0	40440.437500	-1	1	0	0	127.699997	-0.713000	0.037700	0.000000	0.092187	2010_09_B
RunInfo:	26763	CB_26763.dat	0	0	40440.457031	-1	1	0	0	128.000000	-0.712500	0.037700	0.000000	0.091963	2010_09_B
RunInfo:	26764	CB_26764.dat	0	0	40440.476562	-1	1	0	0	128.000000	-0.712200	0.037700	0.000000	0.091963	2010_09_B
RunInfo:	26765	CB_26765.dat	0	0	40440.503906	-1	1	0	0	128.000000	-0.711700	0.037600	0.000000	0.091963	2010_09_B
RunInfo:	26766	CB_26766.dat	0	0	40440.523438	-1	1	0	0	128.000000	-0.711300	0.037600	0.000000	0.091963	2010_09_B
RunInfo:	26767	CB_26767.dat	0	0	40440.535156	-1	1	0	0	128.000000	-0.710800	0.037600	0.000000	0.091963	2010_09_B
RunInfo:	26771	CB_26771.dat	0	0	40440.593750	-1	1	0	0	130.000000	-0.709600	0.037500	0.000000	0.090551	2010_09_B
RunInfo:	26772	CB_26772.dat	0	0	40440.613281	-1	1	0	0	131.500000	-0.709200	0.037500	0.000000	0.089526	2010_09_B
RunInfo:	26773	CB_26773.dat	0	0	40440.640625	-1	1	0	0	130.000000	-0.708700	0.037500	0.000000	0.090551	2010_09_B
RunInfo:	26774	CB_26774.dat	0	0	40440.664062	-1	1	0	0	130.000000	-0.708300	0.037500	0.000000	0.090551	2010_09_B
RunInfo:	26775	CB_26775.dat	0	0	40440.687500	-1	1	0	0	130.000000	-0.707700	0.037400	0.000000	0.090551	2010_09_B
RunInfo:	26776	CB_26776.dat	0	0	40440.707031	-1	1	0	0	130.000000	-0.707300	0.037400	0.000000	0.090551	2010_09_B
RunInfo:	26777	CB_26777.dat	0	0	40440.726562	-1	1	0	0	131.000000	-0.706900	0.037400	0.000000	0.089868	2010_09_B
RunInfo:	26778	CB_26778.dat	0	0	40440.742188	-1	1	0	0	130.000000	-0.706600	0.037400	0.000000	0.090551	2010_09_B
RunInfo:	26779	CB_26779.dat	0	0	40440.761719	-1	1	0	0	130.000000	-0.706100	0.037300	0.000000	0.090551	2010_09_B
