Draw 130 MeV (bin 1) data.
175	0.219343	0.093640
Draw 330 MeV (bin 21) data.
5	-0.332916	0.098565
15	-0.455444	0.062341
25	-0.693579	0.043700
35	-0.778098	0.033304
45	-0.757166	0.027288
55	-0.637098	0.021831
65	-0.520202	0.017961
75	-0.353140	0.013712
85	-0.201455	0.011008
95	-0.043578	0.009364
105	0.104535	0.009833
115	0.229671	0.011945
125	0.320753	0.014381
135	0.509690	0.019772
145	0.596072	0.025393
155	0.590756	0.033657
165	0.500975	0.052637
175	0.055074	0.097194
Draw 340 MeV (bin 22) data.
5	-0.014657	0.096465
15	-0.444034	0.058497
25	-0.629868	0.040856
35	-0.737837	0.030718
45	-0.750758	0.026015
55	-0.642078	0.021186
65	-0.509301	0.017103
75	-0.342658	0.013010
85	-0.195007	0.010247
95	-0.047784	0.008653
105	0.092654	0.009146
115	0.204137	0.010960
125	0.329222	0.013930
135	0.480417	0.018662
145	0.528344	0.023215
155	0.558432	0.032681
165	0.429913	0.051681
175	0.290585	0.114036
Draw 350 MeV (bin 23) data.
5	-0.249934	0.138753
15	-0.563647	0.067071
25	-0.614440	0.044996
35	-0.740232	0.033260
45	-0.667276	0.025300
55	-0.610092	0.021178
65	-0.492602	0.017291
75	-0.351692	0.013962
85	-0.202459	0.011193
95	-0.052154	0.009748
105	0.088136	0.010058
115	0.192694	0.011807
125	0.317207	0.014939
135	0.432414	0.018963
145	0.512047	0.025015
155	0.471215	0.035817
165	0.327066	0.060459
175	0.468080	0.138666
Draw 360 MeV (bin 24) data.
5	0.005359	0.160516
15	-0.374442	0.076592
25	-0.527202	0.048583
35	-0.657612	0.034571
45	-0.673972	0.026733
55	-0.598866	0.021670
65	-0.467322	0.017717
75	-0.320264	0.014284
85	-0.207534	0.012182
95	-0.035588	0.010709
105	0.067786	0.011022
115	0.178043	0.012645
125	0.267700	0.015446
135	0.422644	0.020634
145	0.436666	0.026661
155	0.513730	0.043136
165	0.552306	0.078550
175	0.245787	0.175115
Draw 370 MeV (bin 25) data.
5	-0.579145	0.268398
15	-0.473588	0.105266
25	-0.882245	0.063921
35	-0.914705	0.044212
45	-0.971056	0.035864
55	-0.815486	0.028573
65	-0.704814	0.024410
75	-0.520507	0.020031
85	-0.289642	0.015608
95	-0.069809	0.013404
105	0.099919	0.013857
115	0.243042	0.016289
125	0.426507	0.020719
135	0.566925	0.026590
145	0.644130	0.035931
155	0.664881	0.056000
165	0.830908	0.112631
175	0.185624	0.195624
Draw 380 MeV (bin 26) data.
5	-0.170166	0.251801
15	-0.637709	0.101092
25	-0.694176	0.057674
35	-0.830562	0.040546
45	-0.826990	0.031801
55	-0.726584	0.025721
65	-0.546062	0.020481
75	-0.424414	0.017384
85	-0.233192	0.013952
95	-0.076214	0.012507
105	0.085673	0.012804
115	0.184291	0.014660
125	0.348604	0.018496
135	0.487267	0.024417
145	0.553036	0.033394
155	0.544125	0.052278
165	0.473846	0.104478
175	0.326477	0.233195
Draw 390 MeV (bin 27) data.
5	-0.649112	0.281369
15	-0.581419	0.109805
25	-0.696297	0.060537
35	-0.811066	0.041388
45	-0.775134	0.030941
55	-0.713673	0.025867
65	-0.541873	0.020852
75	-0.407051	0.017508
85	-0.213724	0.014093
95	-0.070755	0.012921
105	0.065435	0.013360
115	0.200904	0.015460
125	0.320420	0.018921
135	0.462328	0.024543
145	0.536464	0.035964
155	0.600299	0.059396
165	0.513095	0.116381
175	0.090504	0.281746
Draw 400 MeV (bin 28) data.
5	-0.208142	0.374070
15	-0.340084	0.117098
25	-0.611025	0.062771
35	-0.654659	0.040190
45	-0.683799	0.029784
55	-0.596390	0.023985
65	-0.501227	0.020459
75	-0.363028	0.017049
85	-0.200259	0.014235
95	-0.036802	0.013149
105	0.053482	0.013729
115	0.162637	0.015426
125	0.272463	0.018948
135	0.415236	0.025340
145	0.497854	0.037249
155	0.479839	0.064477
165	0.453094	0.130039
175	0.551799	0.358095
Draw 130 MeV (bin 1) data.
5	-5.388338	140.691002
15	0.409874	0.469796
25	-0.434147	0.440395
35	-0.952338	9.097385
45	-0.042670	0.174102
55	-4.396826	88.188175
65	-0.735573	1.715976
75	-0.226025	0.237825
85	0.040122	0.275879
95	-2.418216	23.022858
105	0.154407	0.206220
115	0.227356	0.622455
125	-1.748320	5.041148
135	0.047001	0.394243
145	0.672447	1.251699
155	-0.102985	0.173109
165	-0.223595	0.177887
175	-1.577851	21.079138
Draw 140 MeV (bin 2) data.
5	-0.680402	0.922700
15	-0.227800	0.676663
25	-1.127988	2.074936
35	0.292303	0.823903
45	0.517176	1.298327
55	-0.020247	0.237499
65	0.014234	0.419213
75	-1.159366	0.996361
85	0.126002	0.237783
95	-0.156064	0.311182
105	1.124115	1.391474
115	-5.132805	47.289754
125	-0.070614	0.305542
135	-0.026080	0.172023
145	-0.216191	0.570000
155	-0.927971	1.324275
165	-1.325322	3.148076
175	1.421947	9.347900
Draw 150 MeV (bin 3) data.
5	42.221176	225.147917
15	-0.054254	2.000312
25	-0.726473	1.180181
35	-1.463800	1.373482
45	0.654760	0.925116
55	-1.018031	1.184886
65	0.731945	0.949689
75	1.125895	1.103387
85	-0.733259	0.973073
95	1.018785	1.128781
105	-1.962599	1.017419
115	0.217957	1.078943
125	-0.406844	0.971144
135	0.809632	0.825004
145	-0.370025	0.927828
155	0.395210	0.928791
165	-2.157178	1.492173
175	1.444073	1.579080
Draw 160 MeV (bin 4) data.
5	-0.259779	0.740814
15	0.138673	0.740243
25	0.141094	0.511046
35	-0.398483	0.472207
45	0.241204	0.330660
55	0.202091	0.325553
65	0.037538	0.310770
75	0.252570	0.285525
85	0.094090	0.282547
95	-0.149268	0.278221
105	0.350609	0.265277
115	0.225210	0.266492
125	0.834669	0.274605
135	0.191602	0.239872
145	0.050349	0.216351
155	0.157229	0.274696
165	-0.274342	0.279922
175	0.398504	0.771950
Draw 170 MeV (bin 5) data.
5	3.066842	1.898568
15	-0.123922	0.809020
25	-0.467859	0.700037
35	-0.810346	0.536382
45	-0.651667	0.447244
55	-0.100941	0.407632
65	-0.157336	0.397201
75	0.670041	0.381603
85	0.025150	0.322724
95	0.450377	0.319549
105	0.353645	0.293651
115	-0.409592	0.328073
125	-0.042387	0.283292
135	0.777298	0.311982
145	-0.014213	0.289083
155	0.285327	0.315553
165	0.037241	0.419585
175	0.892908	0.879380
Draw 180 MeV (bin 6) data.
5	-1.427947	0.983375
15	-0.536355	0.492956
25	-0.743244	0.435893
35	-0.214151	0.403952
45	-0.345509	0.317295
55	-0.113636	0.275509
65	-0.027961	0.256197
75	-0.591034	0.237726
85	0.149084	0.218180
95	0.277394	0.207248
105	0.600941	0.199280
115	0.542052	0.190383
125	-0.117596	0.182569
135	0.331198	0.191559
145	0.448992	0.200740
155	0.213817	0.200810
165	0.113014	0.268304
175	0.486023	0.451605
Draw 190 MeV (bin 7) data.
5	-0.275145	0.582278
15	0.270412	0.431649
25	-0.710889	0.315830
35	-0.150400	0.276080
45	-0.601279	0.229899
55	-0.235801	0.194160
65	-0.457223	0.176058
75	-0.132970	0.162334
85	-0.014070	0.145129
95	0.131961	0.138250
105	0.205298	0.131564
115	0.587888	0.127336
125	0.252786	0.125075
135	0.530757	0.134428
145	0.692961	0.146344
155	0.257158	0.153234
165	0.113464	0.190677
175	0.459026	0.310614
Draw 200 MeV (bin 8) data.
5	-0.954641	0.613762
15	0.238606	0.368015
25	-1.103330	0.297900
35	-0.587798	0.227615
45	-0.496244	0.198155
55	-0.426717	0.167013
65	-0.487055	0.139521
75	-0.224036	0.128710
85	-0.188228	0.121070
95	0.035355	0.107503
105	0.310251	0.101325
115	0.402550	0.104016
125	0.720371	0.110028
135	0.522131	0.110361
145	0.741458	0.122107
155	0.548617	0.145078
165	-0.019686	0.186336
175	-0.641928	0.293030
Draw 210 MeV (bin 9) data.
5	-0.056844	0.422092
15	-0.428118	0.327730
25	-0.151762	0.237515
35	-0.709360	0.195582
45	-0.579411	0.152632
55	-0.213029	0.122231
65	-0.422611	0.105985
75	-0.171713	0.092405
85	-0.179127	0.083834
95	0.106471	0.076817
105	0.123241	0.074129
115	0.327933	0.074727
125	0.571998	0.080978
135	0.500734	0.085991
145	0.506202	0.094193
155	0.491494	0.110964
165	0.581978	0.150478
175	0.247165	0.220870
Draw 220 MeV (bin 10) data.
5	0.860216	0.367030
15	-0.933145	0.238782
25	-0.734722	0.181921
35	-0.310969	0.143679
45	-0.639712	0.120670
55	-0.410917	0.097461
65	-0.461983	0.086576
75	-0.219810	0.071075
85	0.083876	0.063502
95	0.120035	0.059271
105	0.143975	0.056863
115	0.305106	0.058437
125	0.502905	0.062906
135	0.529249	0.067588
145	0.624115	0.077944
155	0.323109	0.090596
165	0.397663	0.121698
175	0.387735	0.239595
Draw 230 MeV (bin 11) data.
5	-0.115382	0.355220
15	-0.493950	0.220585
25	-0.591163	0.185203
35	-0.660734	0.146872
45	-0.683358	0.118603
55	-0.533462	0.092858
65	-0.515148	0.078465
75	-0.395830	0.065937
85	-0.235403	0.058184
95	0.259955	0.054394
105	0.394920	0.055084
115	0.494434	0.055607
125	0.563797	0.059387
135	0.490279	0.063275
145	0.683201	0.076185
155	0.493355	0.090943
165	0.323559	0.135282
175	0.467471	0.228500
Draw 240 MeV (bin 12) data.
5	-0.136059	0.266040
15	-0.884983	0.167269
25	-0.914227	0.130843
35	-0.792880	0.097219
45	-0.705869	0.080051
55	-0.702137	0.066373
65	-0.458265	0.052060
75	-0.293960	0.042175
85	-0.106439	0.036784
95	0.093051	0.035178
105	0.192011	0.035464
115	0.416524	0.038388
125	0.418114	0.039458
135	0.545064	0.045324
145	0.680928	0.054038
155	0.574149	0.066525
165	0.422727	0.096357
175	0.244649	0.159920
Draw 250 MeV (bin 13) data.
5	-0.406721	0.244016
15	-0.242153	0.150984
25	-0.776221	0.135491
35	-0.929972	0.106072
45	-0.930211	0.084497
55	-0.806259	0.066561
65	-0.647264	0.052931
75	-0.412853	0.043789
85	-0.141439	0.037544
95	0.061985	0.035441
105	0.302908	0.036851
115	0.535923	0.041543
125	0.824593	0.048399
135	0.730086	0.049937
145	0.735472	0.058067
155	0.733648	0.073903
165	0.590162	0.102679
175	0.356754	0.190800
Draw 260 MeV (bin 14) data.
5	-0.197907	0.133838
15	-0.385045	0.098380
25	-0.700528	0.078401
35	-0.758725	0.063333
45	-0.602883	0.047187
55	-0.574926	0.038056
65	-0.389497	0.029366
75	-0.319437	0.024914
85	-0.162015	0.021281
95	0.014300	0.019923
105	0.191518	0.021801
115	0.405425	0.027290
125	0.571332	0.033802
135	0.588696	0.035070
145	0.553255	0.036238
155	0.495455	0.044315
165	0.477376	0.067973
175	0.122258	0.117586
Draw 270 MeV (bin 15) data.
5	-0.094735	0.128643
15	-0.533344	0.079401
25	-0.708706	0.066633
35	-0.819750	0.053976
45	-0.713600	0.040947
55	-0.638163	0.033104
65	-0.469806	0.025565
75	-0.318753	0.020427
85	-0.139544	0.016765
95	0.012741	0.016188
105	0.195868	0.018805
115	0.473590	0.028456
125	0.829672	0.041561
135	0.792809	0.039357
145	0.679813	0.035817
155	0.585416	0.040735
165	0.394029	0.056319
175	0.129445	0.098352
Draw 280 MeV (bin 16) data.
5	-0.269294	0.102673
15	-0.303747	0.063574
25	-0.587229	0.051262
35	-0.721334	0.042029
45	-0.670158	0.033083
55	-0.580277	0.026482
65	-0.410896	0.019964
75	-0.290996	0.015990
85	-0.146814	0.013180
95	0.003268	0.012457
105	0.192246	0.015798
115	0.445763	0.024216
125	0.754142	0.034226
135	0.704714	0.032830
145	0.623597	0.030065
155	0.539930	0.034542
165	0.397502	0.046848
175	0.055416	0.085186
Draw 290 MeV (bin 17) data.
5	-0.123807	0.114373
15	-0.657440	0.074658
25	-0.865266	0.058291
35	-0.893750	0.046153
45	-0.877173	0.037503
55	-0.737935	0.029915
65	-0.597057	0.024111
75	-0.407507	0.018677
85	-0.188308	0.014171
95	-0.007976	0.013455
105	0.228506	0.016933
115	0.461237	0.022138
125	0.682595	0.028853
135	0.861703	0.035679
145	0.782435	0.034685
155	0.648329	0.039406
165	0.610845	0.056289
175	0.157768	0.098344
Draw 300 MeV (bin 18) data.
5	-0.242486	0.095597
15	-0.536494	0.063393
25	-0.728170	0.047961
35	-0.760331	0.037204
45	-0.756858	0.030775
55	-0.687039	0.025766
65	-0.527710	0.020076
75	-0.352467	0.015334
85	-0.182288	0.011978
95	-0.020873	0.011181
105	0.163214	0.012643
115	0.338533	0.015762
